id,title,description,availability,condition,price,link,image_link,brand
sirena-88,Sirena 88′ Yacht Charter – Miami,"Private yacht charter aboard the Sirena 88′ in Miami. Up to 13 guests, docked at Brickell. Features: Onboard Jacuzzi, Premium Sound. Starting price $10,000. Contact us on the website to book your date.",in stock,new,10000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/sirena-88%C2%B4/1.jpg,Heart of the Sea
scarlet-103,Scarlet 103′ Yacht Charter – Miami,"Private yacht charter aboard the Scarlet 103′ in Miami. Up to 13 guests, docked at Miami River. Features: Premium Sound. Starting price $8,000. Contact us on the website to book your date.",in stock,new,8000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/scarlet-103%C2%B4/1.jpg,Heart of the Sea
carpe-diem-105,Carpe Diem 105′ Yacht Charter – Miami,"Private yacht charter aboard the Carpe Diem 105′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $7,500. Contact us on the website to book your date.",in stock,new,7500.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/carpediem-105%E2%80%B2/1.jpg,Heart of the Sea
antago-110,Antago 110′ Yacht Charter – Miami,"Private yacht charter aboard the Antago 110′ in Miami. Up to 13 guests, docked at Grove Harbour Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $7,000. Contact us on the website to book your date.",in stock,new,7000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/antago-110%E2%80%B2/1.jpg,Heart of the Sea
pershing-90,Pershing 90′ Yacht Charter – Miami,"Private yacht charter aboard the Pershing 90′ in Miami. Up to 13 guests, docked at Miami River. Features: Premium Sound. Starting price $7,000. Contact us on the website to book your date.",in stock,new,7000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/pershing-90%E2%80%B2/1.jpg,Heart of the Sea
dominator-105,Dominator 105′ Yacht Charter – Miami,"Private yacht charter aboard the Dominator 105′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $6,000. Contact us on the website to book your date.",in stock,new,6000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/dominator-105%E2%80%B2/1.jpg,Heart of the Sea
galeon-68,Galeon 68′ Yacht Charter – Miami,"Private yacht charter aboard the Galeon 68′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Premium Sound. Starting price $5,000. Contact us on the website to book your date.",in stock,new,5000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/galeon-68%C2%B4/1.jpg,Heart of the Sea
houdini-95,Houdini 95′ Yacht Charter – Miami,"Private yacht charter aboard the Houdini 95′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $5,000. Contact us on the website to book your date.",in stock,new,5000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/houdini-95%E2%80%B2/1.jpg,Heart of the Sea
azimut-90-day-dreamin,Azimut 90′ Day Dreamin′ Yacht Charter – Miami,"Private yacht charter aboard the Azimut 90′ Day Dreamin′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $4,500. Contact us on the website to book your date.",in stock,new,4500.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/azimut-90%E2%80%B2/1.jpg,Heart of the Sea
le-grand-bleu-70,Le Grand Bleu 70′ Yacht Charter – Miami,"Private yacht charter aboard the Le Grand Bleu 70′ in Miami. Up to 13 guests, docked at Haulover. Features: Premium Sound. Starting price $3,200. Contact us on the website to book your date.",in stock,new,3200.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/legrandbleu-70%E2%80%B2/1.jpg,Heart of the Sea
azimut-60-freedom,Azimut 60′ Freedom Yacht Charter – Miami,"Private yacht charter aboard the Azimut 60′ Freedom in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Premium Sound. Starting price $3,000. Contact us on the website to book your date.",in stock,new,3000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/azimutfreedom-60%E2%80%B2/1.jpg,Heart of the Sea
