id,title,description,availability,condition,price,link,image_link,brand
sirena-88,Sirena 88′ Yacht Charter – Miami,"Private yacht charter aboard the Sirena 88′ in Miami. Up to 13 guests, docked at Brickell. Features: Onboard Jacuzzi, Premium Sound. Starting price $10,000. Book your date on WhatsApp.",in stock,new,10000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Sirena%2088%E2%80%B2%20%28starting%20price%20%2410%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/sirena-88%C2%B4/1.jpg,Heart of the Sea
scarlet-103,Scarlet 103′ Yacht Charter – Miami,"Private yacht charter aboard the Scarlet 103′ in Miami. Up to 13 guests, docked at Miami River. Features: Premium Sound. Starting price $8,000. Book your date on WhatsApp.",in stock,new,8000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Scarlet%20103%E2%80%B2%20%28starting%20price%20%248%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/scarlet-103%C2%B4/1.jpg,Heart of the Sea
carpe-diem-105,Carpe Diem 105′ Yacht Charter – Miami,"Private yacht charter aboard the Carpe Diem 105′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $7,500. Book your date on WhatsApp.",in stock,new,7500.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Carpe%20Diem%20105%E2%80%B2%20%28starting%20price%20%247%2C500%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/carpediem-105%E2%80%B2/1.jpg,Heart of the Sea
antago-110,Antago 110′ Yacht Charter – Miami,"Private yacht charter aboard the Antago 110′ in Miami. Up to 13 guests, docked at Grove Harbour Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $7,000. Book your date on WhatsApp.",in stock,new,7000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Antago%20110%E2%80%B2%20%28starting%20price%20%247%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/antago-110%E2%80%B2/1.jpg,Heart of the Sea
pershing-90,Pershing 90′ Yacht Charter – Miami,"Private yacht charter aboard the Pershing 90′ in Miami. Up to 13 guests, docked at Miami River. Features: Premium Sound. Starting price $7,000. Book your date on WhatsApp.",in stock,new,7000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Pershing%2090%E2%80%B2%20%28starting%20price%20%247%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/pershing-90%E2%80%B2/1.jpg,Heart of the Sea
dominator-105,Dominator 105′ Yacht Charter – Miami,"Private yacht charter aboard the Dominator 105′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $6,000. Book your date on WhatsApp.",in stock,new,6000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Dominator%20105%E2%80%B2%20%28starting%20price%20%246%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/dominator-105%E2%80%B2/1.jpg,Heart of the Sea
galeon-68,Galeon 68′ Yacht Charter – Miami,"Private yacht charter aboard the Galeon 68′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Premium Sound. Starting price $5,000. Book your date on WhatsApp.",in stock,new,5000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Galeon%2068%E2%80%B2%20%28starting%20price%20%245%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/galeon-68%C2%B4/1.jpg,Heart of the Sea
houdini-95,Houdini 95′ Yacht Charter – Miami,"Private yacht charter aboard the Houdini 95′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $5,000. Book your date on WhatsApp.",in stock,new,5000.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Houdini%2095%E2%80%B2%20%28starting%20price%20%245%2C000%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/houdini-95%E2%80%B2/1.jpg,Heart of the Sea
azimut-90-day-dreamin,Azimut 90′ Day Dreamin′ Yacht Charter – Miami,"Private yacht charter aboard the Azimut 90′ Day Dreamin′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Onboard Jacuzzi, Premium Sound. Starting price $4,500. Book your date on WhatsApp.",in stock,new,4500.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Azimut%2090%E2%80%B2%20Day%20Dreamin%E2%80%B2%20%28starting%20price%20%244%2C500%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/azimut-90%E2%80%B2/1.jpg,Heart of the Sea
aicon-80,Aicon 80′ Yacht Charter – Miami,"Private yacht charter aboard the Aicon 80′ in Miami. Up to 13 guests, docked at Epic Hotel. Features: Premium Sound. Starting price $3,500. Book your date on WhatsApp.",in stock,new,3500.00 USD,https://wa.me/17867644608?text=Hola%21%20Me%20interesa%20reservar%20el%20yate%20Aicon%2080%E2%80%B2%20%28starting%20price%20%243%2C500%29.%20%C2%BFDisponibilidad%3F,https://mel93peralta-hub.github.io/heart-of-the-sea/images/aicon-80%C2%B4/1.jpg,Heart of the Sea
